ZIP,BKCLASS,EQR,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
4605,SM,8.02673275259495,20020630,254800,361953,MAINE,29053.0,UNION TRUST CO,ELLSWORTH,66 MAIN ST.,,9,19070101,332900,9_20020630
2110,SM,6.083857515566592,20020630,18702060,73642964,MASSACHUSETTS,4480333.0,STATE STREET BANK&TRUST CO,BOSTON,225 FRANKLIN ST.,99991231.0,14,17920101,69162631,14_20020630
1970,NM,55.56477715993029,20020630,100,12049,MASSACHUSETTS,6695.0,EASTERN BANK&TRUST CO,SALEM,217 ESSEX ST.,20021122.0,28,18030101,5354,28_20020630
36830,SM,7.098929774858448,20020630,396581,492046,ALABAMA,34930.0,AUBURNBANK,AUBURN,100 N. GAY ST.,99991231.0,35,19070103,457116,35_20020630
36732,NM,10.535744083551734,20020630,163482,203754,ALABAMA,21467.0,ROBERTSON BANKING CO,DEMOPOLIS,216 N. WALNUT AVE.,99991231.0,39,18700101,182287,39_20020630
36867,NM,15.845351394484341,20020630,79668,102762,ALABAMA,16283.0,PHENIX-GIRARD BANK,PHENIX CITY,8TH AVE. &13TH ST.,99991231.0,41,19040504,86479,41_20020630
35077,NM,7.301436360708288,20020630,115673,130399,ALABAMA,9521.0,MERCHANTS BANK,HANCEVILLE,"201 COMMERCIAL ST, S.E.",20220105.0,46,19070101,120878,46_20020630
35565,NM,10.724057079859008,20020630,264821,322005,ALABAMA,34532.0,TRADERS&FARMERS BANK,HALEYVILLE,20TH ST.,20200701.0,47,19060106,287473,47_20020630
36401,NM,6.706207987346777,20020630,23252,25290,ALABAMA,1696.0,BANK OF EVERGREEN,EVERGREEN,146 W. FRONT ST.,99991231.0,49,19320901,23594,49_20020630
35582,NM,7.540065534703605,20020630,67271,83925,ALABAMA,6328.0,COMMUNITY SPIRIT BANK,RED BAY,200 4TH AVE. SW,99991231.0,50,19080317,77597,50_20020630
35592,NM,9.137432244723183,20020630,79323,95749,ALABAMA,8749.0,BANK OF VERNON,VERNON,44825 HWY. 17,99991231.0,51,19111111,87000,51_20020630
35594,NM,17.461499881991976,20020630,93932,135584,ALABAMA,23675.0,CITIZENS BANK OF WINFIELD,WINFIELD,108-110 E. 1ST AVE.,99991231.0,52,19200522,111909,52_20020630
36319,NM,8.628545777657527,20020630,140548,162623,ALABAMA,14032.0,PEOPLES COMMUNITY BANK,COLUMBIA,109 E. CHURCH ST.,20050413.0,53,19121021,148591,53_20020630
35952,NM,10.699246321330303,20020630,136351,167180,ALABAMA,17887.0,EXCHANGE BANK OF ALABAMA,ALTOONA,SIXTH &BLOUNT ST.,99991231.0,54,19090310,149293,54_20020630
35031,NM,10.103918604691945,20020630,464695,570254,ALABAMA,57618.0,COMMUNITY BANK,BLOUNTSVILLE,MAIN &LIBERTY ST.,20061107.0,57,19230723,512636,57_20020630
36502,NM,9.804440576225106,20020630,183732,222899,ALABAMA,21854.0,UNITED BANK,ATMORE,200 E. NASHVILLE AVE.,99991231.0,58,19040104,201045,58_20020630
36340,NM,14.845940950927297,20020630,92240,108757,ALABAMA,16146.0,CITIZENS BANK,GENEVA,515 COMMERCE ST.,20130101.0,59,19010101,92611,59_20020630
36426,NM,13.263214577289862,20020630,98534,115138,ALABAMA,15271.0,BANKTRUST OF BREWTON,BREWTON,227 BELLEVILLE AVE.,20031101.0,60,19120205,99867,60_20020630
36750,NM,14.106880618933342,20020630,47270,55838,ALABAMA,7877.0,PEACHTREE BANK,MAPLESVILLE,MAIN ST.,20140228.0,68,19190919,47961,68_20020630
36425,NM,9.925071593895884,20020630,45637,50982,ALABAMA,5060.0,PEOPLES EXC BK MONROE CNTY,BEATRICE,SOUTH MOORE &MAIN ST.,99991231.0,70,19070823,45922,70_20020630
35040,SM,12.447001284284232,20020630,96830,113682,ALABAMA,14150.0,CENTRAL STATE BANK,CALERA,HIGHWAY 25,99991231.0,72,19160205,99532,72_20020630
36303,NM,11.68647976465566,20020630,136974,215514,ALABAMA,25186.0,BANKSOUTH,DOTHAN,3251 ROSS CLARK CIRCLE,99991231.0,77,19280101,190328,77_20020630
71671,SM,14.638126715405475,20020630,99610,121327,ARKANSAS,17760.0,WARREN BANK&TRUST CO,WARREN,201 S. MAIN ST.,99991231.0,81,19011231,103567,81_20020630
72742,NM,8.35230204255061,20020630,30080,32949,ARKANSAS,2752.0,MADISON BANK&TRUST,KINGSTON,101 PUBLIC SQ.,20030930.0,85,19110407,30197,85_20020630
72365,NM,11.443428722840487,20020630,26604,30192,ARKANSAS,3455.0,MARKED TREE BANK,MARKED TREE,210 FRISCO ST.,20030430.0,86,19320310,26737,86_20020630
71744,NM,9.4115925058548,20020630,36015,40992,ARKANSAS,3858.0,CALHOUN COUNTY BANK,HAMPTON,200 MAIN ST.,99991231.0,88,19071008,37134,88_20020630
71701,NM,9.8432920487851,20020630,73826,84616,ARKANSAS,8329.0,FIRST BANK OF SOUTH ARKANSAS,CAMDEN,1325 HWY. 4,99991231.0,89,19330818,76287,89_20020630
71655,NM,8.96758990471637,20020630,131830,146405,ARKANSAS,13129.0,COMMERCIAL BANK&TRUST CO,MONTICELLO,212 W. GAINES ST.,99991231.0,90,19130101,133276,90_20020630
72947,SM,11.816038255580775,20020630,79059,90758,ARKANSAS,10724.0,ALLIED BANK,MULBERRY,311 MAIN ST.,20160923.0,91,19020304,80034,91_20020630
71661,NM,7.993838420689935,20020630,124063,148014,ARKANSAS,11832.0,DELTA TRUST&BANK,PARKDALE,1853 HWY. 165 S.,20141025.0,92,19100201,136182,92_20020630
71763,NM,7.734262981810003,20020630,28638,35569,ARKANSAS,2751.0,RIVERSIDE BANK,SPARKMAN,COMMERCE &MAIN ST.,99991231.0,93,19160101,32818,93_20020630
71671,NM,10.480525641155038,20020630,87772,99079,ARKANSAS,10384.0,FIRST STATE BANK OF WARREN,WARREN,MAIN ST.,99991231.0,94,18900101,88695,94_20020630
71940,NM,16.077359119706568,20020630,62585,74975,ARKANSAS,12054.0,BANK OF DELIGHT,DELIGHT,SECOND &ANTIOCH ST.,99991231.0,99,19110616,62921,99_20020630
71857,NM,10.967653131452169,20020630,64194,72650,ARKANSAS,7968.0,BANK OF PRESCOTT,PRESCOTT,EAST 2ND &MAIN ST.,20191109.0,101,19040810,64682,101_20020630
72521,NM,8.764535544808139,20020630,55256,65959,ARKANSAS,5781.0,BANK OF CAVE CITY,CAVE CITY,MAIN ST.,99991231.0,105,19060701,60178,105_20020630
72029,NM,12.44832960628854,20020630,25539,29514,ARKANSAS,3674.0,MERCHANTS&PLANTERS BANK,CLARENDON,297 MADISON ST.,99991231.0,107,18900101,25840,107_20020630
72703,NM,9.767532449465088,20020630,168775,215643,ARKANSAS,21063.0,COMMUNITY BANK OF NORTH AR,FAYETTEVILLE,1685 E. JOYCE BLVD.,20081124.0,108,19120601,194580,108_20020630
71842,NM,10.114644691845312,20020630,59488,66379,ARKANSAS,6714.0,HORATIO STATE BANK,HORATIO,PRIDE &MAIN,99991231.0,109,19050505,59665,109_20020630
72211,NM,8.810045888682506,20020630,708664,894774,ARKANSAS,78830.0,BANK OF THE OZARKS,LITTLE ROCK,12615 CHENAL PKWY.,99991231.0,110,19030303,815944,110_20020630
34995,N,8.03393255307084,20020630,1013982,1195666,FLORIDA,96059.0,FIRST NB&T CO TREASURE COAST,STUART,815 COLORADO AVE.,99991231.0,131,19330101,1099607,131_20020630
32696,NM,8.367345579961516,20020630,127328,150191,FLORIDA,12567.0,PERKINS STATE BANK,WILLISTON,342 E. NOBLE AVE.,20130118.0,134,19130801,137624,134_20020630
31061,NM,11.18658441942891,20020630,109739,124989,GEORGIA,13982.0,CENTURY BANK&TRUST,MILLEDGEVILLE,141 S. WAYNE ST.,99991231.0,147,18980101,111007,147_20020630
30650,NM,10.92036750724174,20020630,96998,112542,GEORGIA,12290.0,BANK OF MADISON,MADISON,133 N. MAIN ST.,99991231.0,148,18900101,100252,148_20020630
31539,NM,8.01412923715082,20020630,53829,61716,GEORGIA,4946.0,BANK OF HAZLEHURST,HAZLEHURST,SOUTH TALLAHASSEE ST.,99991231.0,149,19060101,56770,149_20020630
30523,NM,8.846849491111305,20020630,359305,504236,GEORGIA,44609.0,HABERSHAM BANK,CLARKESVILLE,201 N. WASHINGTON ST.,20110218.0,151,19040513,459627,151_20020630
31622,NM,14.202118111649614,20020630,47449,55710,GEORGIA,7912.0,BANK OF ALAPAHA,ALAPAHA,245 NE RAILROAD ST.,99991231.0,155,19050325,47798,155_20020630
31029,NM,7.035918093319907,20020630,55109,59580,GEORGIA,4192.0,MONROE COUNTY BANK,FORSYTH,1 E. MAIN ST.,20140731.0,156,19081015,55388,156_20020630
31639,NM,6.218527796755991,20020630,72314,79038,GEORGIA,4915.0,UNITED BANKING CO,NASHVILLE,202 W. WASHINGTON AVE.,20030627.0,158,19240715,74123,158_20020630
31791,NM,14.896824048913043,20020630,39903,47104,GEORGIA,7017.0,SYLVESTER BANKING CO,SYLVESTER,300 N. MAIN ST.,20040228.0,159,18980101,40087,159_20020630
